r_fighter,b_fighter,r_win,b_win,wei_class,method,round,time,t_format,ref,details,r_kd,b_kd,r_sigstr,b_sigstr,r_totstr,b_totstr,r_td,b_td,r_sub,b_sub,r_rev,b_rev,r_ctrl,b_ctrl,r_hstr,b_hstr,r_bstr,b_bstr,r_lstr,b_lstr,r_dis,b_dis,r_cli,b_cli,r_gro,b_gro
Mayra Bueno Silva,Maryna Moroz,0,1,Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Camila Albuquerque,,0,0,0.6,0.56,0.61,0.59,0.0,0.25,0,0,0,0,45,269,0.49,0.47,0.91,0.69,0.72,0.94,0.56,0.55,0.94,0.56,0,0.69
Rani Yahya,Enrique Barzola,0,0,Bantamweight Bout,Decision - Majority,3,5:00,3 Rnd (5-5-5),Julio Catarino,,0,0,0.53,0.66,0.7,0.79,0.4,0.5,0,1,1,1,288,409,0.4,0.6,0.71,0.9,0.88,0.0,0.5,0.28,0.5,1.0,0.8,0.94
Francisco Trinaldo,John Makdessi,1,0,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Osiris Maia,,0,0,0.44,0.54,0.44,0.55,0.0,0.0,0,0,0,0,0,0,0.34,0.28,0.77,0.62,1.0,0.84,0.43,0.54,1.0,1.0,0,0
Jussier Formiga,Brandon Moreno,0,1,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Eduardo Herdy,,0,0,0.47,0.4,0.75,0.64,0.11,0.0,1,0,1,1,253,225,0.38,0.38,0.8,0.67,0.67,0,0.43,0.33,0.0,0.44,1.0,0.75
Demian Maia,Gilbert Burns,0,1,Welterweight Bout,KO/TKO,1,2:34,3 Rnd (5-5-5),Osiris Maia,Punch to Head At Distance,0,1,0.57,0.81,0.57,0.82,1.0,0.0,0,0,0,0,83,4,0.57,0.77,0,1.0,0,1.0,0.57,0.71,0,0,0,0.89
Amanda Ribas,Randa Markos,1,0,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Camila Albuquerque,,0,0,0.53,0.47,0.68,0.57,0.33,1.0,2,0,1,0,445,60,0.46,0.38,0.75,0.43,1.0,0.92,0.41,0.45,0.89,1.0,0.82,0
Chase Sherman,Ike Villanueva,1,0,Heavyweight Bout,KO/TKO,2,0:49,3 Rnd (5-5-5),Michael Cardoso,Elbow to Head In Clinch,1,0,0.59,0.3,0.59,0.3,0.0,0.0,0,0,0,0,0,0,0.47,0.26,0.87,0.75,0.73,0,0.57,0.3,0.67,0.0,1.0,0
Renato Moicano,Damir Hadzovic,1,0,Lightweight Bout,Submission,1,0:44,3 Rnd (5-5-5),Eduardo Herdy,Rear Naked Choke,0,0,0.5,0.2,0.8,0.2,1.0,0.0,1,0,0,0,25,0,0.5,0.0,0,0,0,1.0,0.5,0.2,0,0,0,0
Johnny Walker,Nikita Krylov,0,1,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,,0,0,0.74,0.78,0.81,0.86,0.0,0.37,0,0,1,1,145,680,0.73,0.78,0.67,0.86,1.0,0.5,0.71,0.56,0.89,0.67,0.7,0.89
Kevin Lee,Charles Oliveira,0,1,Lightweight Bout,Submission,3,0:28,5 Rnd (5-5-5-5-5),Mike Beltran,Guillotine Choke After Drop to Half Guard,0,0,0.51,0.66,0.61,0.7,0.66,0.0,0,2,1,1,390,11,0.47,0.57,1.0,0.9,0,1.0,0.48,0.62,0,1.0,0.67,0.86
Hunter Azure,Brian Kelleher,0,1,Featherweight Bout,KO/TKO,2,3:40,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance,0,1,0.47,0.29,0.48,0.31,0.0,0.0,0,0,0,0,21,29,0.38,0.26,0.62,0.29,0.92,0.43,0.48,0.28,0.33,0,0,1.0
Gabriel Benitez,Omar Morales,0,1,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,,0,0,0.28,0.29,0.28,0.29,0.0,0.0,0,0,0,0,0,0,0.13,0.2,0.75,0.71,0.67,0.78,0.28,0.29,0,0.4,0,0
Sijara Eubanks,Sarah Moras,1,0,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Michael Cardoso,,0,0,0.5,0.32,0.55,0.47,1.0,0.0,0,0,0,0,254,0,0.46,0.21,0.8,0.55,0.67,0.83,0.46,0.32,0.71,0.33,0.64,0
Andrei Arlovski,Philipe Lins,1,0,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.47,0.41,0.47,0.41,0.0,0.0,0,0,0,0,0,7,0.32,0.37,0.54,0.39,0.84,0.8,0.46,0.4,0.67,0.75,0,0
Michael Johnson,Thiago Moises,0,1,Lightweight Bout,Submission,2,0:25,3 Rnd (5-5-5),Keith Peterson,Ankle Lock After Drop to Ground,0,0,0.45,0.06,0.46,0.06,0.0,0.0,0,1,0,0,21,0,0.33,0.0,0.45,0.0,0.86,1.0,0.44,0.06,0,0,1.0,0
Ricky Simon,Ray Borg,1,0,Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Details:,,0,0,0.47,0.52,0.55,0.54,0.63,0.0,0,0,0,1,323,30,0.38,0.46,0.72,0.74,0.91,0.0,0.42,0.52,0.71,0,1.0,0
Alexander Hernandez,Drew Dober,0,1,Lightweight Bout,KO/TKO,2,4:25,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,0,0,0.31,0.42,0.36,0.44,0.6,0.0,0,0,0,0,67,11,0.25,0.38,0.63,0.6,0.0,0.78,0.28,0.4,0.71,0.7,1.0,0
Rodrigo Nascimento,Don'Tale Mayes,1,0,Heavyweight Bout,Submission,2,2:05,3 Rnd (5-5-5),Dan Miragliotta,Rear Naked Choke,0,0,0.62,0.56,0.69,0.65,1.0,0.0,1,0,0,0,143,93,0.42,0.33,0.86,0.88,1.0,1.0,0.58,0.51,1.0,0.86,0.75,0
Ben Rothwell,Ovince Saint Preux,1,0,Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,,0,1,0.51,0.51,0.61,0.53,0.33,0.0,0,0,0,0,349,22,0.42,0.44,0.88,0.87,1.0,0.4,0.51,0.47,0.48,0.75,1.0,0
Cortney Casey,Mara Romero Borella,1,0,Women's Flyweight Bout,Submission,1,3:36,3 Rnd (5-5-5),Michael Cardoso,Armbar From Bottom Guard,0,0,0.5,0.71,0.75,0.88,0.0,0.5,2,0,0,0,0,175,0.5,0.5,1.0,1.0,0.33,1.0,0.29,0.5,0.5,1.0,1.0,1.0
