r_fighter,b_fighter,r_win,b_win,wei_class,method,round,time,t_format,ref,details,r_kd,b_kd,r_sigstr,b_sigstr,r_totstr,b_totstr,r_td,b_td,r_sub,b_sub,r_rev,b_rev,r_ctrl,b_ctrl,r_hstr,b_hstr,r_bstr,b_bstr,r_lstr,b_lstr,r_dis,b_dis,r_cli,b_cli,r_gro,b_gro
Impa Kasanganay,Carlston Harris,0,1,Welterweight Bout,KO/TKO,1,2:38,3 Rnd (5-5-5),Mark Smith,Punches to Head On Ground,0,1,0.29,0.52,0.29,0.5,0.0,0.0,0,0,0,0,0,21,0.25,0.43,1.0,0.86,0,1.0,0.29,0.4,0,0,0,0.91
Jonathan Pearce,Omar Morales,1,0,Featherweight Bout,Submission,2,3:31,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke,0,0,0.34,0.48,0.66,0.64,0.54,0.0,1,0,0,2,333,19,0.32,0.41,0.75,0,0.0,1.0,0.33,0.44,0.5,0.57,0,0
Matthew Semelsberger,Martin Sano,1,0,Welterweight Bout,KO/TKO,1,0:15,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance,1,0,0.6,0.33,0.6,0.33,0.0,0.0,0,0,0,0,1,0,0.5,0.33,1.0,0,0,0,0.5,0.33,0,0,1.0,0
Erin Blanchfield,Sarah Alpar,1,0,Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,,0,0,0.57,0.36,0.62,0.38,1.0,0.0,0,0,0,0,583,0,0.52,0.25,0.88,0.62,1.0,0.85,0.44,0.36,1.0,0.33,0.72,0
Jamie Pickett,Laureano Staropoli,1,0,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,,0,0,0.49,0.4,0.54,0.54,1.0,0.11,0,0,0,0,157,326,0.36,0.29,0.77,0.73,0.5,1.0,0.36,0.35,0.91,0.75,0.0,0
Khama Worthy,Jai Herbert,0,1,Lightweight Bout,KO/TKO,1,2:47,3 Rnd (5-5-5),Chris Tognoni,Punches to Head On Ground,0,1,0.52,0.52,0.52,0.53,0.0,0.0,0,0,0,0,0,5,0.38,0.53,1.0,1.0,0.71,0.4,0.52,0.49,0,1.0,0,0.6
Livinha Souza,Randa Markos,0,1,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,,0,0,0.41,0.68,0.72,0.77,0.5,0.0,2,0,0,2,211,527,0.3,0.65,1.0,0.88,1.0,1.0,0.3,0.53,0.6,0.8,1.0,1.0
Cody Brundage,Nick Maximov,0,1,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,,0,0,0.53,0.35,0.66,0.59,0.0,0.26,1,0,0,2,115,561,0.49,0.32,0.6,1.0,1.0,0.5,0.35,0.31,0.8,0.6,1.0,0.33
Jonathan Martinez,Zviad Lazishvili,1,0,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,,0,0,0.49,0.39,0.49,0.4,0.0,0.0,0,0,0,0,0,90,0.42,0.22,0.74,0.77,0.87,0.91,0.49,0.39,0,0.43,0,0
Junyong Park,Gregory Rodrigues,0,1,Middleweight Bout,KO/TKO,2,3:13,3 Rnd (5-5-5),Keith Peterson,Punch to Head In Clinch,0,0,0.51,0.76,0.53,0.77,0.0,0.5,0,0,0,1,29,200,0.49,0.73,0,0.94,1.0,0.0,0.51,0.74,0.67,1.0,0,0.8
Jeff Molina,Daniel Da Silva,1,0,Flyweight Bout,KO/TKO,2,0:46,3 Rnd (5-5-5),Keith Peterson,Punches to Head From Back Control,1,0,0.76,0.8,0.81,0.84,0.0,0.0,0,0,0,0,206,55,0.72,0.64,1.0,0.88,1.0,1.0,0.69,0.88,0,0.0,0.78,0.75
Tabatha Ricci,Maria Oliveira,1,0,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,,0,0,0.46,0.37,0.55,0.43,0.45,0.0,0,0,0,0,398,1,0.39,0.27,0.75,0.55,0.8,0.82,0.3,0.35,1.0,1.0,0.88,0.5
Francisco Trinaldo,Dwight Grant,1,0,Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Chris Tognoni,,0,0,0.51,0.23,0.6,0.28,0.33,1.0,0,0,0,0,285,11,0.4,0.18,0.79,0.5,0.83,0.8,0.46,0.22,0.8,1.0,0.75,0.5
Mason Jones,David Onama,1,0,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,,0,0,0.55,0.59,0.61,0.65,0.57,0.0,0,0,0,0,541,11,0.49,0.56,0.91,0.89,1.0,1.0,0.53,0.55,0.56,0.83,0.89,0.5
Jessica-Rose Clark,Joselyne Edwards,1,0,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,,0,0,0.67,0.62,0.73,0.77,0.45,0.0,0,0,0,0,700,98,0.53,0.58,1.0,0.78,0.8,0.67,0.53,0.56,1.0,1.0,1.0,1.0
Alex Caceres,SeungWoo Choi,1,0,Featherweight Bout,Submission,2,3:31,3 Rnd (5-5-5),Jason Herzog,Rear Naked Choke,0,1,0.72,0.34,0.75,0.37,0.0,0.0,1,0,0,0,49,15,0.67,0.23,0.76,0.69,0.79,1.0,0.69,0.31,0.9,1.0,0,0.4
Grant Dawson,Ricky Glenn,0,0,Lightweight Bout,Decision - Majority,3,5:00,3 Rnd (5-5-5),Mike Beltran,,0,0,0.77,0.68,0.84,0.85,0.27,0.0,0,1,0,0,506,270,0.71,0.73,0.85,0.58,1.0,0.67,0.43,0.42,1.0,1.0,0.86,0.9
Shamil Abdurakhimov,Chris Daukaus,0,1,Heavyweight Bout,KO/TKO,2,1:23,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance,0,2,0.37,0.41,0.37,0.41,0.0,0.0,0,0,0,0,0,48,0.27,0.39,0.55,0.67,1.0,1.0,0.35,0.31,1.0,0.4,0,0.6
Paulo Costa,Marvin Vettori,0,1,Light Heavyweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,,0,0,0.63,0.55,0.64,0.57,1.0,0.2,0,0,0,0,47,207,0.47,0.5,0.93,0.92,1.0,1.0,0.62,0.53,1.0,0.72,0.67,1.0
Nicolae Negumereanu,Ike Villanueva,1,0,Light Heavyweight Bout,KO/TKO,1,1:18,3 Rnd (5-5-5),Mike Beltran,Punches to Head On Ground,0,0,0.52,0.33,0.52,0.33,0.0,0.0,0,0,0,0,20,0,0.44,0.26,0,1.0,1.0,0,0.5,0.35,1.0,0.0,0.5,0
Uros Medic,Jalin Turner,0,1,Lightweight Bout,Submission,1,4:01,3 Rnd (5-5-5),Jason Herzog,Rear Naked Choke,0,0,0.55,0.53,0.55,0.59,0.0,1.0,0,1,0,0,0,144,0.33,0.44,0.0,0.89,1.0,0.5,0.55,0.52,0,1.0,0,0.46
Marlon Moraes,Merab Dvalishvili,0,1,Bantamweight Bout,KO/TKO,2,4:25,3 Rnd (5-5-5),Keith Peterson,Punches to Head On Ground,1,0,0.66,0.63,0.69,0.8,0.0,1.0,0,0,0,0,30,360,0.64,0.62,0,0.86,0.75,0.0,0.6,0.34,0.5,0,1.0,0.77
Roxanne Modafferi,Taila Santos,0,1,Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,,0,1,0.2,0.58,0.35,0.72,0.0,1.0,0,0,0,0,182,483,0.15,0.51,0.67,0.73,0.75,1.0,0.18,0.56,1.0,0.89,0,0.5
Curtis Blaydes,Jairzinho Rozenstruik,1,0,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,,0,0,0.33,0.26,0.59,0.46,0.5,0.0,0,0,0,0,379,0,0.24,0.26,0.75,0.5,0.67,0.0,0.28,0.25,0,0.67,0.8,0
Dan Hooker,Nasrat Haqparast,1,0,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,,0,0,0.48,0.39,0.68,0.45,0.42,0.0,0,0,0,0,424,3,0.27,0.3,0.84,0.82,0.83,0.5,0.41,0.37,0.93,0.67,1.0,0
Istela Nunes,Ariane Carnelossi,0,1,Women's Strawweight Bout,Submission,3,2:57,3 Rnd (5-5-5),Keith Peterson,Rear Naked Choke,0,0,0.52,0.33,0.63,0.48,0.0,0.71,0,1,0,0,0,424,0.42,0.32,0.73,0.5,1.0,1.0,0.5,0.33,0.8,0.38,0,0
Alexander Volkanovski,Brian Ortega,1,0,UFC Featherweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,,0,0,0.61,0.38,0.61,0.4,0.0,0.4,0,3,2,1,231,54,0.54,0.31,0.77,0.77,0.84,0.6,0.62,0.36,0.5,0.67,0.57,0
Valentina Shevchenko,Lauren Murphy,1,0,UFC Women's Flyweight Title Bout,KO/TKO,4,4:00,5 Rnd (5-5-5-5-5),Keith Peterson,Punches to Head From Half Guard,0,0,0.58,0.12,0.65,0.19,0.75,0.0,0,0,0,0,244,41,0.49,0.05,0.79,0.23,0.85,0.8,0.53,0.12,0.75,0,0.8,0
Jessica Andrade,Cynthia Calvillo,1,0,Women's Flyweight Bout,KO/TKO,1,4:54,3 Rnd (5-5-5),Herb Dean,Punches to Head In Clinch,0,0,0.56,0.36,0.56,0.36,0.0,0.0,0,0,0,0,0,0,0.49,0.19,0.67,0.72,0.92,0.8,0.57,0.36,0.5,0,0,0
Batgerel Danaa,Brandon Davis,1,0,Bantamweight Bout,KO/TKO,1,2:01,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,1,0,0.43,0.26,0.43,0.26,0.0,0.0,0,0,0,0,5,0,0.44,0.18,0.33,0.33,0.33,1.0,0.47,0.26,0.0,0,0.33,0
Nick Diaz,Robbie Lawler,0,1,Middleweight Bout,KO/TKO,3,0:44,5 Rnd (5-5-5-5-5),Jason Herzog,Punch to Head At Distance,0,0,0.44,0.59,0.44,0.59,0.0,0.0,0,0,0,0,0,14,0.39,0.5,0.8,0.94,0,1.0,0.44,0.54,0.75,0.82,0,1.0
Nate Landwehr,Ludovit Klein,1,0,Featherweight Bout,Submission,3,2:22,3 Rnd (5-5-5),Herb Dean,Anaconda Choke On Ground,0,0,0.55,0.49,0.63,0.51,0.5,0.0,2,0,0,0,226,32,0.48,0.36,0.6,0.72,0.8,0.8,0.48,0.49,0.7,0.6,0,0
Manon Fiorot,Mayra Bueno Silva,1,0,Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,,0,0,0.34,0.43,0.38,0.59,0.33,0.0,0,0,0,0,245,4,0.22,0.24,0.88,0.66,1.0,0.58,0.32,0.39,0.5,0.78,0.57,1.0
Loopy Godinez,Luana Carolina,0,1,Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,,0,0,0.43,0.5,0.59,0.61,0.13,0.0,0,0,0,0,457,52,0.38,0.34,0.57,0.78,0.6,0.79,0.4,0.43,0.29,0.76,1.0,0
Aspen Ladd,Norma Dumont,0,1,Women's Featherweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Keith Peterson,,0,0,0.3,0.44,0.52,0.56,0.0,1.0,0,0,1,0,452,107,0.27,0.37,0.67,0.83,0.75,1.0,0.2,0.38,0.67,0.93,0.62,0
Danny Roberts,Ramazan Emeev,1,0,Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mark Smith,,0,0,0.36,0.51,0.41,0.6,0.33,0.28,0,1,0,0,158,177,0.24,0.47,0.76,0.73,0.5,0,0.22,0.43,0.69,0.85,0.0,1.0
Andrei Arlovski,Carlos Felipe,1,0,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.48,0.42,0.49,0.42,0.0,0.0,0,0,0,0,0,82,0.37,0.37,0.73,0.71,0.96,0.83,0.48,0.36,1.0,0.86,0,0.7
Andrew Sanchez,Bruno Silva,0,1,Middleweight Bout,KO/TKO,3,2:35,3 Rnd (5-5-5),Keith Peterson,Punches to Head At Distance,0,0,0.62,0.57,0.74,0.65,0.58,0.0,0,0,0,0,473,15,0.6,0.49,0.67,0.88,1.0,0.67,0.57,0.54,1.0,0.83,1.0,0.56
Jim Miller,Erick Gonzalez,1,0,Lightweight Bout,KO/TKO,2,0:14,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance,1,0,0.67,0.38,0.72,0.49,0.5,0.5,0,0,0,0,115,62,0.61,0.33,1.0,0.6,1.0,0.5,0.6,0.33,0.8,1.0,0.75,0.5
Devonte Smith,Jamie Mullarkey,0,1,Lightweight Bout,KO/TKO,2,2:51,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head On Ground,0,1,0.45,0.51,0.48,0.52,0.0,0.5,0,0,0,0,0,47,0.42,0.34,0.5,0.69,1.0,1.0,0.44,0.45,0.6,0.68,0,0.55
Stephanie Egger,Shanna Young,1,0,Women's Bantamweight Bout,KO/TKO,2,2:22,3 Rnd (5-5-5),Mark Smith,Elbow to Head From Guard,0,0,0.69,0.44,0.74,0.48,0.5,0.0,0,2,0,0,208,23,0.61,0.26,1.0,0.69,1.0,1.0,0.56,0.44,1.0,0,0.86,0
Douglas Silva de Andrade,Gaetano Pirrello,1,0,Bantamweight Bout,KO/TKO,1,2:04,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance,1,0,0.67,0.83,0.71,0.83,0.0,0.0,0,0,0,0,19,0,0.67,0,0.5,0.67,1.0,1.0,0.55,0.8,1.0,1.0,1.0,0
Antonina Shevchenko,Casey O'Neill,0,1,Women's Flyweight Bout,KO/TKO,2,4:47,3 Rnd (5-5-5),Chris Tognoni,Punches to Head From Mount,0,0,0.63,0.47,0.68,0.61,0.0,0.37,0,0,0,0,72,339,0.58,0.46,1.0,0.57,0,1.0,0.53,0.24,1.0,0.67,0.8,0.71
Bethe Correia,Karol Rosa,0,1,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.42,0.63,0.5,0.66,0.0,0.0,0,0,0,0,0,170,0.2,0.49,0.76,1.0,1.0,0.91,0.41,0.59,0.71,0.85,0,1.0
Alejandro Perez,Johnny Eduardo,1,0,Bantamweight Bout,Submission,2,4:13,3 Rnd (5-5-5),Chris Tognoni,Armbar From Side Control,0,0,0.42,0.53,0.52,0.58,1.0,1.0,2,0,0,0,74,74,0.28,0.21,0.83,0.89,0.67,0.94,0.37,0.51,1.0,0.67,0.75,1.0
Misha Cirkunov,Krzysztof Jotko,0,1,Middleweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.45,0.43,0.52,0.49,0.29,0.33,0,0,0,0,246,44,0.22,0.3,0.77,0.86,0.95,1.0,0.37,0.42,0.75,0.67,1.0,0
Joe Solecki,Jared Gordon,0,1,Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,,0,0,0.55,0.59,0.69,0.68,0.57,0.5,0,0,0,1,363,247,0.5,0.53,1.0,0.67,1.0,0.88,0.45,0.49,1.0,1.0,1.0,1.0
Kevin Holland,Kyle Daukaus,0,0,Middleweight Bout,Other,1,3:43,3 Rnd (5-5-5),Dan Miragliotta,Accidental Headbutt,0,0,0.43,0.69,0.86,0.76,0.0,0.2,0,3,0,0,64,130,0.33,0.56,0,1.0,1.0,1.0,0.33,0.5,1.0,1.0,0,0.6
Alexander Hernandez,Mike Breeden,1,0,Lightweight Bout,KO/TKO,1,1:20,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance,1,0,0.57,0.4,0.57,0.4,0.0,0.0,0,0,0,0,0,0,0.52,0.31,1.0,0,0.5,1.0,0.54,0.36,0.67,1.0,0,0
Alex Oliveira,Niko Price,0,1,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,,0,0,0.58,0.55,0.63,0.65,0.5,0.33,0,0,0,0,194,290,0.43,0.45,0.74,0.64,1.0,0.91,0.57,0.48,1.0,1.0,0.64,0.81
Montel Jackson,JP Buys,1,0,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,4,0,0.58,0.33,0.78,0.65,0.8,0.14,1,3,0,0,603,80,0.5,0.3,1.0,0.31,0,1.0,0.65,0.27,0.75,1.0,0.44,1.0
Rong Zhu,Brandon Jenkins,1,0,Lightweight Bout,KO/TKO,3,4:35,3 Rnd (5-5-5),Chris Tognoni,Punches to Head On Ground,1,0,0.64,0.39,0.68,0.49,0.75,0.0,0,0,0,1,567,4,0.6,0.25,0.89,0.44,1.0,0.85,0.58,0.37,1.0,0.6,0.71,1.0
Mike Rodriguez,Tafon Nchukwi,0,1,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.34,0.58,0.38,0.6,0.0,1.0,0,0,0,0,2,285,0.18,0.56,0.77,0.57,0.76,0.91,0.33,0.52,0.57,0.74,0,0.82
Thiago Santos,Johnny Walker,1,0,Light Heavyweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,,0,0,0.42,0.37,0.42,0.37,0.0,0.0,0,0,0,0,0,0,0.23,0.13,0.57,0.45,0.51,0.58,0.41,0.36,1.0,0.67,0,0
Pannie Kianzad,Raquel Pennington,0,1,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,,0,0,0.51,0.61,0.59,0.68,0.5,0.33,0,0,0,0,334,376,0.38,0.46,0.8,0.94,0.8,1.0,0.26,0.47,0.77,0.82,0,1.0
Joaquin Buckley,Antonio Arroyo,1,0,Middleweight Bout,KO/TKO,3,2:26,3 Rnd (5-5-5),Mark Smith,Punches to Head At Distance,1,0,0.4,0.46,0.42,0.53,0.16,0.0,0,0,0,0,78,24,0.2,0.18,0.55,0.59,0.81,1.0,0.36,0.47,1.0,0.0,1.0,0
Nate Maness,Tony Gravely,1,0,Bantamweight Bout,KO/TKO,2,2:10,3 Rnd (5-5-5),Keith Peterson,Punches to Head On Ground,1,1,0.49,0.53,0.65,0.57,1.0,0.16,0,0,0,0,15,146,0.46,0.42,0.83,0.73,0,0.71,0.4,0.45,1.0,0.8,0.89,1.0
Loopy Godinez,Silvana Gomez Juarez,1,0,Women's Strawweight Bout,Submission,1,4:14,3 Rnd (5-5-5),Herb Dean,Armbar From Back Control,0,0,0.85,0.23,0.9,0.23,0.83,0.0,1,0,0,0,207,0,0.8,0.23,1.0,0,1.0,0,0.8,0.23,1.0,0,0,0
Alexandr Romanov,Jared Vanderaa,1,0,Heavyweight Bout,KO/TKO,2,4:43,3 Rnd (5-5-5),Mark Smith,Punches to Head From Mount,0,0,0.72,0.57,0.76,0.61,0.71,0.0,0,0,0,0,391,0,0.73,0.33,0.6,0.67,1.0,0.88,0.5,0.53,0,0.75,0.8,0
Chris Gutierrez,Felipe Colares,1,0,Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog,,0,0,0.67,0.28,0.7,0.39,0.0,0.14,0,0,0,0,90,239,0.56,0.21,0.93,0.48,0.89,0.6,0.67,0.28,0.5,0,0.5,0
Arman Tsarukyan,Christos Giagos,1,0,Lightweight Bout,KO/TKO,1,2:09,3 Rnd (5-5-5),Herb Dean,Punches to Head On Ground,1,0,0.71,0.17,0.73,0.36,0.0,0.0,0,0,0,0,11,49,0.72,0.0,1.0,1.0,0.0,0,0.4,0.2,0,0.0,0.86,0
Sabina Mazo,Mariya Agapova,0,1,Women's Flyweight Bout,Submission,3,0:53,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke,0,1,0.39,0.57,0.39,0.58,0.0,0.0,0,1,0,0,35,5,0.31,0.45,0.59,0.74,0.58,0.93,0.39,0.56,1.0,1.0,0,0
Anthony Smith,Ryan Spann,1,0,Light Heavyweight Bout,Submission,1,3:47,5 Rnd (5-5-5-5-5),Herb Dean,Rear Naked Choke,2,0,0.61,0.4,0.62,0.4,0.0,0.0,1,0,0,0,98,30,0.52,0.29,0.75,1.0,1.0,0,0.55,0.33,0,1.0,0.75,1.0
Steve Garcia,Charlie Ontiveros,1,0,Lightweight Bout,KO/TKO,2,1:51,3 Rnd (5-5-5),Chris Tognoni,Punches to Head From Mount,0,2,0.69,0.3,0.8,0.44,0.6,0.0,0,0,0,0,355,8,0.67,0.32,1.0,0.0,1.0,0,0.55,0.25,1.0,1.0,0.73,0.2
Randy Brown,Jared Gooden,1,0,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.49,0.52,0.49,0.54,0.0,0.0,0,0,0,0,6,44,0.41,0.25,0.86,0.75,0.9,0.8,0.48,0.52,0.71,1.0,1.0,0.0
Mackenzie Dern,Marina Rodriguez,0,1,Women's Strawweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Mark Smith,,0,0,0.28,0.52,0.38,0.52,0.12,0.0,1,1,1,0,441,10,0.26,0.39,0.4,0.67,0.67,0.94,0.23,0.48,0.33,0.91,0.75,0
Ariane Lipski,Mandy Bohm,1,0,Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,,2,0,0.45,0.33,0.5,0.38,0.0,0.0,0,0,0,0,266,29,0.25,0.21,0.73,0.75,0.47,0.75,0.41,0.31,0.65,0.71,0.57,0
Charles Rosa,Damon Jackson,0,1,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,,0,0,0.39,0.47,0.64,0.52,0.66,0.5,0,2,1,3,78,624,0.26,0.43,0.5,0.75,1.0,1.0,0.34,0.34,0.62,1.0,1.0,0.69
Tim Elliott,Matheus Nicolau,0,1,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,,0,0,0.33,0.59,0.41,0.73,0.1,1.0,0,0,0,0,148,128,0.24,0.44,0.39,0.82,0.74,0.62,0.3,0.6,1.0,0.0,1.0,0.0
Ion Cutelaba,Devin Clark,1,0,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,,1,0,0.63,0.44,0.67,0.65,0.66,0.16,0,0,0,0,528,118,0.62,0.31,0.8,0.43,1.0,0.77,0.33,0.38,0.69,0.62,0.72,0.43
Julian Erosa,Charles Jourdain,1,0,Catch Weight Bout,Submission,3,2:56,3 Rnd (5-5-5),Jason Herzog,D'Arce Choke In Clinch,0,1,0.48,0.52,0.49,0.57,0.4,0.0,1,0,0,0,155,0,0.39,0.42,0.76,0.7,1.0,0.93,0.43,0.5,0.85,0.62,1.0,0.5
Dalcha Lungiambula,Marc-Andre Barriault,0,1,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,,0,0,0.39,0.41,0.4,0.43,0.4,0.0,0,0,0,0,32,31,0.32,0.34,0.81,0.6,0.67,0.88,0.35,0.37,0.66,0.64,0,0
Jack Shore,Liudvik Sholinian,1,0,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,,0,0,0.59,0.21,0.62,0.31,0.25,0.0,1,0,0,0,268,86,0.51,0.15,0.79,0.86,0.88,0,0.58,0.18,0.67,1.0,0.8,1.0
Modestas Bukauskas,Khalil Rountree Jr.,0,1,Light Heavyweight Bout,KO/TKO,2,2:30,3 Rnd (5-5-5),Herb Dean,"Kick to Leg At Distance
      Side kick",0,1,0.47,0.41,0.47,0.41,0.0,0.0,0,0,0,0,0,0,0.41,0.25,1.0,0.88,1.0,1.0,0.46,0.41,1.0,0,0,0
Paddy Pimblett,Luigi Vendramini,1,0,Lightweight Bout,KO/TKO,1,4:25,3 Rnd (5-5-5),Mark Smith,Punches to Head At Distance,1,0,0.58,0.49,0.58,0.54,0.0,1.0,0,0,0,0,9,27,0.47,0.35,0.88,1.0,1.0,1.0,0.57,0.47,1.0,0.6,0,1.0
Alex Morono,David Zawada,1,0,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,,0,0,0.42,0.42,0.44,0.43,0.0,0.5,0,0,0,0,66,39,0.41,0.26,0.67,0.85,1.0,0.86,0.41,0.41,0.67,0.5,0,0
Ryan Benoit,Zarrukh Adashev,0,1,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,,1,0,0.29,0.55,0.36,0.55,0.0,0.0,0,1,0,0,79,45,0.27,0.46,0.25,0.71,1.0,0.89,0.26,0.54,0,1.0,1.0,0.5
Jinh Yu Frey,Ashley Yoder,1,0,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,,0,0,0.48,0.39,0.48,0.4,0.0,0.0,0,0,0,0,2,41,0.36,0.31,0.6,0.6,0.87,0.74,0.45,0.39,0.91,0.33,1.0,0
Derek Brunson,Darren Till,1,0,Middleweight Bout,Submission,3,2:13,5 Rnd (5-5-5-5-5),Herb Dean,Rear Naked Choke,0,0,0.49,0.52,0.7,0.53,0.5,0.0,1,0,0,0,443,4,0.49,0.37,1.0,1.0,0.33,1.0,0.25,0.45,1.0,0.88,0.64,0
Tom Aspinall,Serghei Spivac,1,0,Heavyweight Bout,KO/TKO,1,2:30,3 Rnd (5-5-5),Mark Smith,Elbow to Head In Clinch,1,0,0.62,0.0,0.62,0.0,0.0,0.0,0,0,0,0,3,0,0.55,0.0,1.0,0,0,0,0.54,0.0,1.0,0,0.6,0
Phil Rowe,Orion Cosce,1,0,Welterweight Bout,KO/TKO,2,4:21,3 Rnd (5-5-5),Chris Tognoni,Punches to Head At Distance,1,0,0.49,0.42,0.52,0.62,0.0,0.33,0,0,0,0,12,394,0.42,0.38,0.81,0.75,1.0,0.67,0.42,0.36,0.87,0.6,0,1.0
Danny Chavez,Kai Kamaka,0,0,Featherweight Bout,Decision - Majority,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.37,0.62,0.43,0.7,0.2,0.0,0,0,0,0,35,213,0.31,0.32,0.5,0.75,0.6,0.83,0.31,0.62,0.62,0.67,1.0,0
Molly McCann,Ji Yeon Kim,1,0,Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,,0,0,0.47,0.34,0.47,0.36,0.66,0.0,0,0,0,0,47,155,0.44,0.28,0.73,0.73,1.0,0.92,0.47,0.33,0.5,0.6,0,1.0
Chris Gruetzemacher,Rafa Garcia,1,0,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,,0,0,0.53,0.49,0.66,0.54,0.0,0.41,0,1,0,0,3,386,0.41,0.45,0.97,0.88,0.82,0.78,0.47,0.47,0.89,0.65,0,0.6
Cheyanne Vlismas,Gloria de Paula,1,0,Women's Strawweight Bout,KO/TKO,1,1:00,3 Rnd (5-5-5),Mark Smith,Kick to Head At Distance,1,0,0.69,0.62,0.69,0.73,1.0,0.0,0,0,0,0,34,0,0.73,0.62,0.0,0,0,0,0.5,0.62,0,0,0.88,0
Niklas Stolze,Jared Gooden,0,1,Welterweight Bout,KO/TKO,1,1:08,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,0,1,0.54,0.61,0.54,0.61,0.0,1.0,0,0,0,0,0,21,0.4,0.65,1.0,0.0,1.0,1.0,0.54,0.62,0,0,0,0.5
